date,temperature,rainfall,humidity,wind_speed,year,month,season,frost_risk
2020-01-01,1.4,0.3,62.88,4.89,2020,1,Winter,0
2020-01-02,0.96,0.6,72.75,3.42,2020,1,Winter,0
2020-01-03,1.94,0.0,70.79,4.42,2020,1,Winter,0
2020-01-04,-0.94,0.1,83.29,3.47,2020,1,Winter,1
2020-01-05,-0.62,0.0,71.29,4.43,2020,1,Winter,1
2020-01-06,1.53,15.8,71.29,5.49,2020,1,Winter,0
2020-01-07,0.64,26.0,93.08,7.6,2020,1,Winter,0
2020-01-08,-1.31,21.5,94.62,6.56,2020,1,Winter,1
2020-01-09,-4.61,0.0,79.21,3.81,2020,1,Winter,1
2020-01-10,-5.04,0.0,57.0,5.88,2020,1,Winter,1
2020-01-11,0.34,0.0,40.21,4.92,2020,1,Winter,0
2020-01-12,6.12,1.0,56.42,6.74,2020,1,Winter,0
2020-01-13,4.6,20.0,71.67,8.75,2020,1,Winter,0
2020-01-14,2.86,0.1,80.96,6.93,2020,1,Winter,0
2020-01-15,1.95,0.5,82.29,7.12,2020,1,Winter,0
2020-01-16,1.94,7.7,83.04,4.72,2020,1,Winter,0
2020-01-17,1.07,10.1,91.88,5.01,2020,1,Winter,0
2020-01-18,-0.75,6.6,91.08,2.95,2020,1,Winter,1
2020-01-19,-0.6,0.0,75.54,4.7,2020,1,Winter,1
2020-01-20,0.32,0.3,62.58,3.84,2020,1,Winter,0
2020-01-21,0.66,4.3,76.62,6.83,2020,1,Winter,0
2020-01-22,0.74,0.0,74.46,5.05,2020,1,Winter,0
2020-01-23,0.32,0.0,69.71,6.32,2020,1,Winter,0
2020-01-24,2.8,0.0,51.0,6.45,2020,1,Winter,0
2020-01-25,4.27,1.5,60.38,4.3,2020,1,Winter,0
2020-01-26,2.25,0.0,75.96,5.21,2020,1,Winter,0
2020-01-27,1.48,4.3,69.83,5.67,2020,1,Winter,0
2020-01-28,1.07,15.0,86.33,8.99,2020,1,Winter,0
2020-01-29,0.16,12.1,81.29,6.11,2020,1,Winter,0
2020-01-30,-1.17,0.2,78.25,4.64,2020,1,Winter,1
2020-01-31,0.27,0.7,76.79,4.84,2020,1,Winter,0
2020-02-01,-0.8,0.1,82.75,4.45,2020,2,Winter,1
2020-02-02,0.06,0.0,66.12,5.43,2020,2,Winter,0
2020-02-03,1.15,0.0,57.33,4.41,2020,2,Winter,0
2020-02-04,0.52,2.8,70.83,4.25,2020,2,Winter,0
2020-02-05,1.0,0.0,77.21,4.66,2020,2,Winter,0
2020-02-06,0.84,0.1,79.54,4.07,2020,2,Winter,0
2020-02-07,0.24,0.6,80.33,4.81,2020,2,Winter,0
2020-02-08,0.69,0.0,66.67,4.57,2020,2,Winter,0
2020-02-09,2.18,0.0,52.04,4.77,2020,2,Winter,0
2020-02-10,3.38,0.0,59.46,4.4,2020,2,Winter,0
2020-02-11,4.25,0.0,61.38,4.37,2020,2,Winter,0
2020-02-12,6.86,0.0,55.58,7.61,2020,2,Winter,0
2020-02-13,9.6,0.0,58.12,8.22,2020,2,Winter,0
2020-02-14,6.88,0.0,74.08,6.74,2020,2,Winter,0
2020-02-15,6.65,0.0,62.79,7.84,2020,2,Winter,0
2020-02-16,6.78,0.0,54.83,7.05,2020,2,Winter,0
2020-02-17,6.18,0.0,54.08,6.42,2020,2,Winter,0
2020-02-18,6.57,0.0,51.67,7.04,2020,2,Winter,0
2020-02-19,5.95,0.0,54.71,5.56,2020,2,Winter,0
2020-02-20,8.03,0.4,51.42,8.57,2020,2,Winter,0
2020-02-21,3.59,11.3,83.92,6.74,2020,2,Winter,0
2020-02-22,4.69,0.6,79.42,4.84,2020,2,Winter,0
2020-02-23,4.58,3.3,78.67,3.6,2020,2,Winter,0
2020-02-24,4.35,0.4,74.96,3.9,2020,2,Winter,0
2020-02-25,4.73,0.3,73.75,4.45,2020,2,Winter,0
2020-02-26,5.31,0.0,74.33,6.37,2020,2,Winter,0
2020-02-27,5.41,0.0,77.38,4.64,2020,2,Winter,0
2020-02-28,6.85,3.9,75.83,4.31,2020,2,Winter,0
2020-02-29,6.23,3.8,70.04,6.79,2020,2,Winter,0
2020-03-01,5.82,1.1,70.5,4.18,2020,3,Spring,0
2020-03-02,5.82,0.4,72.33,4.75,2020,3,Spring,0
2020-03-03,6.33,1.2,74.75,4.28,2020,3,Spring,0
2020-03-04,5.71,1.3,78.04,5.11,2020,3,Spring,0
2020-03-05,4.86,2.5,76.88,8.55,2020,3,Spring,0
2020-03-06,3.93,16.9,76.12,9.49,2020,3,Spring,0
2020-03-07,2.18,24.1,84.0,9.3,2020,3,Spring,0
2020-03-08,3.92,1.8,75.75,5.56,2020,3,Spring,0
2020-03-09,5.49,0.0,66.08,6.17,2020,3,Spring,0
2020-03-10,6.13,0.7,74.38,4.76,2020,3,Spring,0
2020-03-11,5.2,8.6,78.25,9.56,2020,3,Spring,0
2020-03-12,6.16,9.4,75.38,13.17,2020,3,Spring,0
2020-03-13,4.5,17.4,79.75,9.3,2020,3,Spring,0
2020-03-14,3.53,7.3,79.75,6.84,2020,3,Spring,0
2020-03-15,3.61,2.0,82.46,4.99,2020,3,Spring,0
2020-03-16,5.7,0.1,73.04,4.52,2020,3,Spring,0
2020-03-17,7.07,0.7,71.38,5.5,2020,3,Spring,0
2020-03-18,7.09,0.8,73.29,5.41,2020,3,Spring,0
2020-03-19,6.9,0.0,71.54,4.27,2020,3,Spring,0
2020-03-20,7.53,0.8,68.96,4.64,2020,3,Spring,0
2020-03-21,7.47,5.6,71.92,4.47,2020,3,Spring,0
2020-03-22,8.03,2.8,69.62,6.01,2020,3,Spring,0
2020-03-23,8.69,0.0,71.12,5.6,2020,3,Spring,0
2020-03-24,8.09,9.3,77.75,6.26,2020,3,Spring,0
2020-03-25,9.15,0.2,70.58,5.68,2020,3,Spring,0
2020-03-26,9.4,0.0,64.08,6.12,2020,3,Spring,0
2020-03-27,8.61,14.1,75.79,9.41,2020,3,Spring,0
2020-03-28,7.93,10.2,75.75,5.55,2020,3,Spring,0
2020-03-29,7.98,0.2,62.67,7.04,2020,3,Spring,0
2020-03-30,8.47,0.0,64.17,5.86,2020,3,Spring,0
2020-03-31,9.37,4.3,61.79,5.97,2020,3,Spring,0
2020-04-01,9.02,1.2,66.29,6.58,2020,4,Spring,0
2020-04-02,7.62,4.8,58.5,6.9,2020,4,Spring,0
2020-04-03,7.69,0.0,58.17,7.01,2020,4,Spring,0
2020-04-04,9.33,0.0,60.88,5.62,2020,4,Spring,0
2020-04-05,9.77,0.0,58.29,5.72,2020,4,Spring,0
2020-04-06,10.06,0.6,59.5,7.13,2020,4,Spring,0
2020-04-07,9.53,5.5,60.42,6.68,2020,4,Spring,0
2020-04-08,8.04,5.8,68.62,6.47,2020,4,Spring,0
2020-04-09,10.52,0.0,53.71,6.0,2020,4,Spring,0
2020-04-10,10.82,0.0,56.08,5.8,2020,4,Spring,0
2020-04-11,12.38,0.0,54.46,6.85,2020,4,Spring,0
2020-04-12,13.85,0.0,58.17,6.82,2020,4,Spring,0
2020-04-13,14.1,0.0,62.58,6.59,2020,4,Spring,0
2020-04-14,14.2,2.0,61.33,5.02,2020,4,Spring,0
2020-04-15,13.85,1.1,54.88,5.69,2020,4,Spring,0
2020-04-16,14.6,0.0,49.33,6.26,2020,4,Spring,0
2020-04-17,12.29,5.8,62.21,7.75,2020,4,Spring,0
2020-04-18,10.8,9.3,72.21,7.04,2020,4,Spring,0
2020-04-19,10.47,1.6,67.96,6.49,2020,4,Spring,0
2020-04-20,9.99,3.8,67.38,5.41,2020,4,Spring,0
2020-04-21,9.2,8.3,75.96,5.78,2020,4,Spring,0
2020-04-22,10.21,1.9,71.75,5.22,2020,4,Spring,0
2020-04-23,12.04,0.0,59.17,6.11,2020,4,Spring,0
2020-04-24,12.39,0.8,60.58,5.62,2020,4,Spring,0
2020-04-25,12.32,0.6,67.67,5.36,2020,4,Spring,0
2020-04-26,11.42,7.7,77.96,4.99,2020,4,Spring,0
2020-04-27,10.61,5.8,81.75,5.24,2020,4,Spring,0
2020-04-28,11.34,3.9,77.17,4.99,2020,4,Spring,0
2020-04-29,12.95,0.5,72.88,7.32,2020,4,Spring,0
2020-04-30,12.05,2.7,83.0,5.05,2020,4,Spring,0
2020-05-01,15.13,0.0,61.33,8.59,2020,5,Spring,0
2020-05-02,14.5,4.0,67.88,6.56,2020,5,Spring,0
2020-05-03,14.15,3.5,66.08,7.12,2020,5,Spring,0
2020-05-04,13.44,2.3,74.67,4.13,2020,5,Spring,0
2020-05-05,13.03,0.9,63.92,6.8,2020,5,Spring,0
2020-05-06,12.22,3.8,62.42,5.98,2020,5,Spring,0
